iter	Logloss
0	0.6868959063
1	0.6811108107
2	0.6749106418
3	0.6689959751
4	0.663099739
5	0.6574562158
6	0.6520877795
7	0.6465863003
8	0.6423338129
9	0.6369495606
10	0.632682286
11	0.6274832822
12	0.6225244758
13	0.6172797385
14	0.6125293689
15	0.6082342769
16	0.6041191187
17	0.5999512405
18	0.5957343712
19	0.5923745659
20	0.5879649473
21	0.5841699665
22	0.5805700066
23	0.5783050194
24	0.5742644406
25	0.5703236869
26	0.5667908058
27	0.5637022726
28	0.5611502401
29	0.5572860375
30	0.555019893
31	0.5512803324
32	0.5487255568
33	0.5453289332
34	0.5418696028
35	0.5390050224
36	0.5370291378
37	0.535068812
38	0.5318736387
39	0.5292469839
40	0.5264864718
41	0.5239300246
42	0.5216609655
43	0.5189557451
44	0.5174452107
45	0.5150145199
46	0.5122609514
47	0.5096706862
48	0.5071729167
49	0.504857224
50	0.5026933477
51	0.5007420658
52	0.4986725711
53	0.4964074124
54	0.4948154835
55	0.4930075313
56	0.4906041863
57	0.4884061492
58	0.486740198
59	0.4850084112
60	0.4833809499
61	0.4819231355
62	0.4807111762
63	0.4794370244
64	0.478123697
65	0.4763001431
66	0.4747657776
67	0.4734170464
68	0.472476102
69	0.4717729547
70	0.4701647812
71	0.4684800137
72	0.4672941572
73	0.4659776152
74	0.4650192261
75	0.4634742308
76	0.4627346939
77	0.461309583
78	0.4596321877
79	0.4583220321
80	0.4570991002
81	0.4558390071
82	0.4546708954
83	0.4532430413
84	0.4523072403
85	0.4510943381
86	0.449821215
87	0.4485749234
88	0.447109651
89	0.4459505403
90	0.4452000307
91	0.4440563931
92	0.4434486989
93	0.4425410581
94	0.4419864697
95	0.4405677881
96	0.440084736
97	0.438921039
98	0.4379087298
99	0.4371004426
100	0.4359178865
101	0.4347780206
102	0.4335669614
103	0.432802779
104	0.4322058003
105	0.4311565013
106	0.4299592436
107	0.4290547746
108	0.4283320395
109	0.4276446653
110	0.4269075715
111	0.425722015
112	0.4253816069
113	0.4244729803
114	0.4236708652
115	0.4230420402
116	0.4227338212
117	0.4220932093
118	0.4211649091
119	0.4204305156
120	0.4193839598
121	0.4186087619
122	0.4177279955
123	0.4168528868
124	0.4164499004
125	0.4157575972
126	0.4150876677
127	0.4143982362
128	0.4138022005
129	0.4132380968
130	0.4125337922
131	0.4119228835
132	0.4116426961
133	0.4113027594
134	0.4106747488
135	0.4101731375
136	0.4095678437
137	0.4091529846
138	0.4085949673
139	0.4080549519
140	0.4076096181
141	0.4069902227
142	0.406365041
143	0.405757604
144	0.4053719338
145	0.4046210385
146	0.4039628104
147	0.403286966
148	0.4026171224
149	0.402293516
150	0.4020064279
151	0.4015609655
152	0.4010644548
153	0.4004053694
154	0.4000531314
155	0.3992697041
156	0.3989337535
157	0.3986454224
158	0.3982204051
159	0.3975911087
160	0.397133045
161	0.3966159606
162	0.3961620545
163	0.3958837959
164	0.3956687584
165	0.395307648
166	0.3949122054
167	0.39466395
168	0.3944127372
169	0.3939777331
170	0.3935885483
171	0.3931126112
172	0.3925469216
173	0.3923159824
174	0.3917828678
175	0.3911920183
176	0.3909473633
177	0.390680806
178	0.3903734014
179	0.3897807518
180	0.3893704361
181	0.3890109116
182	0.388629699
183	0.3884511798
184	0.3880320345
185	0.38768554
186	0.3875716992
187	0.3872993555
188	0.3872051025
189	0.3868068738
190	0.3863918862
191	0.3862097665
192	0.3857477595
193	0.3852281892
194	0.3850220241
195	0.3844630209
196	0.384265171
197	0.3841648745
198	0.3837816903
199	0.3835682387
200	0.3835078036
201	0.3832196868
202	0.3828605052
203	0.3825227545
204	0.381975324
205	0.381709581
206	0.3813068518
207	0.3809596715
208	0.38065381
209	0.3803383902
210	0.3799470194
211	0.3797384541
212	0.3794602812
213	0.3791928238
214	0.3789435826
215	0.3787153866
216	0.3785592411
217	0.3784015956
218	0.3780145538
219	0.3775909938
220	0.3773495963
221	0.3772204967
222	0.3770038733
223	0.3766080878
224	0.376250192
225	0.3759951645
226	0.3757355936
227	0.3754654788
228	0.3751961354
229	0.3749039039
230	0.3747297994
231	0.3743853623
232	0.374158795
233	0.373968403
234	0.3737999562
235	0.3735075961
236	0.3732262086
237	0.3730545901
238	0.3728557544
239	0.3725138889
240	0.3722917793
241	0.3720999728
242	0.3718752057
243	0.3716653545
244	0.3711963182
245	0.3710844061
246	0.3708013042
247	0.3704694255
248	0.3703950175
249	0.3702070258
250	0.3698694465
251	0.3696445079
252	0.3695180229
253	0.3691962596
254	0.3690699031
255	0.368904028
256	0.368837678
257	0.3687278662
258	0.3686157827
259	0.3684742531
260	0.3682928192
261	0.3681390312
262	0.3678808748
263	0.3675108492
264	0.3673344301
265	0.3671956437
266	0.3671142921
267	0.3669803062
268	0.3667449523
269	0.3666193244
270	0.3664372905
271	0.3662249104
272	0.3661250425
273	0.3658628142
274	0.3657614033
275	0.3656125872
276	0.3654993464
277	0.3651592812
278	0.3649284277
279	0.3647115472
280	0.3646032355
281	0.3645025532
282	0.3643386927
283	0.3641633452
284	0.363913804
285	0.3636911371
286	0.3635184042
287	0.3633910618
288	0.3630587117
289	0.3628286297
290	0.3627931402
291	0.3627384486
292	0.3626567541
293	0.3623762238
294	0.3622517104
295	0.3621398411
296	0.3619528781
297	0.3618513386
298	0.36163913
299	0.3613228101
300	0.361024578
301	0.3608464016
302	0.3606352217
303	0.3604408007
304	0.3602668676
305	0.3601111937
306	0.3599928524
307	0.3598658958
308	0.359712965
309	0.3594885194
310	0.3592988132
311	0.3592086535
312	0.3590314844
313	0.3588725744
314	0.3587586049
315	0.3586367061
316	0.3586253048
317	0.3582160393
318	0.3579757562
319	0.3578404202
320	0.3576122241
321	0.3573740841
322	0.3572757164
323	0.3572481991
324	0.3571805847
325	0.3570628863
326	0.3567293574
327	0.3563363579
328	0.3561118051
329	0.3560033648
330	0.355639447
331	0.3555252204
332	0.3554504266
333	0.3552784652
334	0.3551638314
335	0.3550112006
336	0.3548367961
337	0.3548145723
338	0.3546841654
339	0.3545630809
340	0.3542609483
341	0.3541468074
342	0.354055919
343	0.3540207295
344	0.3536210435
345	0.3534264725
346	0.3534129925
347	0.3533468568
348	0.3532715272
349	0.3530605616
350	0.3528642547
351	0.3527762595
352	0.3527089665
353	0.3526340656
354	0.3525360193
355	0.3523406982
356	0.3520938359
357	0.3519896818
358	0.3518874351
359	0.3518812844
360	0.3517434409
361	0.3516201062
362	0.3515168951
363	0.3512584386
364	0.3510910206
365	0.3509898454
366	0.3508098259
367	0.3507036359
368	0.3506105402
369	0.3504756113
370	0.3503146225
371	0.3502845764
372	0.3502146474
373	0.34998703
374	0.3499091288
375	0.3497607628
376	0.3496187403
377	0.349522237
378	0.3494553941
379	0.3493878654
380	0.3491299233
381	0.3490718241
382	0.3489863792
383	0.3486141676
384	0.3484981837
385	0.3484073167
386	0.3483065059
387	0.3481438883
388	0.3479873572
389	0.3479645547
390	0.3478160387
391	0.3477331011
392	0.3475958363
393	0.3474427555
394	0.3473512457
395	0.3472189957
396	0.3471347937
397	0.347019367
398	0.3470023937
399	0.346892089
400	0.3466310394
401	0.3465176057
402	0.346329614
403	0.3461669322
404	0.3460985034
405	0.345913212
406	0.3459102974
407	0.3458348392
408	0.3457939062
409	0.3456841587
410	0.3455959706
411	0.3455512658
412	0.3454576342
413	0.3453623954
414	0.3452609416
415	0.3448882157
416	0.3448205369
417	0.3447266697
418	0.344660041
419	0.3445906693
420	0.3445681454
421	0.3443983271
422	0.3443500219
423	0.3443293196
424	0.3442566475
425	0.344119597
426	0.344008585
427	0.3437660303
428	0.3437269404
429	0.3436870789
430	0.3436066703
431	0.3434143066
432	0.3432336872
433	0.3431408271
434	0.3430164637
435	0.3427972258
436	0.3425713443
437	0.3424935502
438	0.3423155667
439	0.342265397
440	0.3422187634
441	0.34220119
442	0.3421163237
443	0.3420730334
444	0.3419602212
445	0.3417295392
446	0.3416438585
447	0.3415056293
448	0.3413613994
449	0.3413431403
450	0.3411684358
451	0.3410105759
452	0.3408837051
453	0.3408280705
454	0.3406695248
455	0.3406270274
456	0.340584037
457	0.340483419
458	0.3401876728
459	0.3400963558
460	0.3400028957
461	0.339916315
462	0.3397087354
463	0.3396514293
464	0.3396322057
465	0.3392838039
466	0.3390823107
467	0.3390003161
468	0.3388172964
469	0.3386821961
470	0.3384773169
471	0.3384349051
472	0.3383173782
473	0.3382547786
474	0.3381338227
475	0.3380861175
476	0.3380681584
477	0.3379874497
478	0.3377150418
479	0.3376162454
480	0.3375764911
481	0.3373899138
482	0.3373364652
483	0.3372612
484	0.3372081371
485	0.3372069798
486	0.3371172916
487	0.3370810519
488	0.3370425406
489	0.3367963427
490	0.3367850057
491	0.3366235883
492	0.3365654892
493	0.3363714754
494	0.3362506052
495	0.3361763686
496	0.3361000961
497	0.3359722823
498	0.335792713
499	0.3356497261
500	0.3355142829
501	0.335464799
502	0.3354367674
503	0.3353173974
504	0.3352940806
505	0.3351341633
506	0.3350497471
507	0.3349626948
508	0.3346978948
509	0.3346217723
510	0.3345137607
511	0.3344477536
512	0.3343075956
513	0.3342481035
514	0.3341588867
515	0.3341192181
516	0.3339743025
517	0.3339332838
518	0.3338116635
519	0.3336408165
520	0.3335458991
521	0.3334394305
522	0.3333077377
523	0.3331327974
524	0.3329818383
525	0.3328475095
526	0.3328257571
527	0.3326131842
528	0.3324610678
529	0.3323517703
530	0.3322417013
531	0.3320777979
532	0.3320021683
533	0.3318908134
534	0.3317749366
535	0.3317281316
536	0.3316946351
537	0.3316360216
538	0.3314806049
539	0.3314740899
540	0.3313555985
541	0.3310960062
542	0.3310271702
543	0.3308018031
544	0.3306573589
545	0.3304971631
546	0.330301842
547	0.3302563014
548	0.3301649201
549	0.3300673667
550	0.3299649056
551	0.3298282409
552	0.3297363453
553	0.3297205721
554	0.3296165252
555	0.3293791782
556	0.3292974408
557	0.3291850787
558	0.3290781171
559	0.3289283581
560	0.3286584576
561	0.3284060875
562	0.3283225499
563	0.3279968647
564	0.32792655
565	0.3279095768
566	0.3278903318
567	0.327763461
568	0.3276796877
569	0.327580677
570	0.3275189775
571	0.3274867883
572	0.3273991145
573	0.3273571314
574	0.327234804
575	0.3270831162
576	0.3270636569
